"nationality","participated","won","win_percentage"
"American",158,2,0.0126582278481013
"American-Italian",1,0,0
"Argentine",24,5,0.208333333333333
"Argentine-Italian",1,0,0
"Argentinian ",1,0,0
"Australian",19,4,0.210526315789474
"Austrian",15,4,0.266666666666667
"Belgian",23,0,0
"Brazilian",32,8,0.25
"British",166,20,0.120481927710843
"Canadian",14,1,0.0714285714285714
"Chilean",1,0,0
"Chinese",1,0,0
"Colombian",3,0,0
"Czech",1,0,0
"Danish",5,0,0
"Dutch",18,4,0.222222222222222
"East German",3,0,0
"Finnish",9,4,0.444444444444444
"French",73,4,0.0547945205479452
"German",50,12,0.24
"Hungarian",1,0,0
"Indian",2,0,0
"Indonesian",1,0,0
"Irish",5,0,0
"Italian",99,3,0.0303030303030303
"Japanese",20,0,0
"Liechtensteiner",1,0,0
"Malaysian",1,0,0
"Mexican",6,0,0
"Monegasque",4,0,0
"New Zealander",10,1,0.1
"Polish",1,0,0
"Portuguese",4,0,0
"Rhodesian",4,0,0
"Russian",4,0,0
"South African",23,1,0.0434782608695652
"Spanish",15,2,0.133333333333333
"Swedish",10,0,0
"Swiss",23,0,0
"Thai",2,0,0
"Uruguayan",4,0,0
"Venezuelan",3,0,0
