"raceId","year","round","circuitId","GPname","date","startTime","circuitRef","circuitName","location","country","lat","lng","alt","continent"
1,2009,1,1,"Australian Grand Prix","2009-03-29","06:00:00","albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,"Oceania"
2,2009,2,2,"Malaysian Grand Prix","2009-04-05","09:00:00","sepang","Sepang International Circuit","Kuala Lumpur","Malaysia",2.76083,101.738,18,"Asia"
3,2009,3,17,"Chinese Grand Prix","2009-04-19","07:00:00","shanghai","Shanghai International Circuit","Shanghai","China",31.3389,121.22,5,"Asia"
4,2009,4,3,"Bahrain Grand Prix","2009-04-26","12:00:00","bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,7,"Asia"
5,2009,5,4,"Spanish Grand Prix","2009-05-10","12:00:00","catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,109,"Europe"
6,2009,6,6,"Monaco Grand Prix","2009-05-24","12:00:00","monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,7,"Europe"
7,2009,7,5,"Turkish Grand Prix","2009-06-07","12:00:00","istanbul","Istanbul Park","Istanbul","Turkey",40.9517,29.405,130,"Asia"
8,2009,8,9,"British Grand Prix","2009-06-21","12:00:00","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,153,"Europe"
9,2009,9,20,"German Grand Prix","2009-07-12","12:00:00","nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,"Europe"
10,2009,10,11,"Hungarian Grand Prix","2009-07-26","12:00:00","hungaroring","Hungaroring","Budapest","Hungary",47.5789,19.2486,264,"Europe"
11,2009,11,12,"European Grand Prix","2009-08-23","12:00:00","valencia","Valencia Street Circuit","Valencia","Spain",39.4589,-0.331667,4,"Europe"
12,2009,12,13,"Belgian Grand Prix","2009-08-30","12:00:00","spa","Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,401,"Europe"
13,2009,13,14,"Italian Grand Prix","2009-09-13","12:00:00","monza","Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,162,"Europe"
14,2009,14,15,"Singapore Grand Prix","2009-09-27","12:00:00","marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore",1.2914,103.864,18,"Asia"
15,2009,15,22,"Japanese Grand Prix","2009-10-04","05:00:00","suzuka","Suzuka Circuit","Suzuka","Japan",34.8431,136.541,45,"Asia"
16,2009,16,18,"Brazilian Grand Prix","2009-10-18","16:00:00","interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,"South America"
17,2009,17,24,"Abu Dhabi Grand Prix","2009-11-01","11:00:00","yas_marina","Yas Marina Circuit","Abu Dhabi","UAE",24.4672,54.6031,3,"Asia"
18,2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,"Oceania"
19,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","sepang","Sepang International Circuit","Kuala Lumpur","Malaysia",2.76083,101.738,18,"Asia"
20,2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,7,"Asia"
21,2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,109,"Europe"
22,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","istanbul","Istanbul Park","Istanbul","Turkey",40.9517,29.405,130,"Asia"
23,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,7,"Europe"
24,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","villeneuve","Circuit Gilles Villeneuve","Montreal","Canada",45.5,-73.5228,13,"North America"
25,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","magny_cours","Circuit de Nevers Magny-Cours","Magny Cours","France",46.8642,3.16361,228,"Europe"
26,2008,9,9,"British Grand Prix","2008-07-06","12:00:00","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,153,"Europe"
27,2008,10,10,"German Grand Prix","2008-07-20","12:00:00","hockenheimring","Hockenheimring","Hockenheim","Germany",49.3278,8.56583,103,"Europe"
28,2008,11,11,"Hungarian Grand Prix","2008-08-03","12:00:00","hungaroring","Hungaroring","Budapest","Hungary",47.5789,19.2486,264,"Europe"
29,2008,12,12,"European Grand Prix","2008-08-24","12:00:00","valencia","Valencia Street Circuit","Valencia","Spain",39.4589,-0.331667,4,"Europe"
30,2008,13,13,"Belgian Grand Prix","2008-09-07","12:00:00","spa","Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,401,"Europe"
31,2008,14,14,"Italian Grand Prix","2008-09-14","12:00:00","monza","Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,162,"Europe"
32,2008,15,15,"Singapore Grand Prix","2008-09-28","12:00:00","marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore",1.2914,103.864,18,"Asia"
33,2008,16,16,"Japanese Grand Prix","2008-10-12","04:30:00","fuji","Fuji Speedway","Oyama","Japan",35.3717,138.927,583,"Asia"
34,2008,17,17,"Chinese Grand Prix","2008-10-19","07:00:00","shanghai","Shanghai International Circuit","Shanghai","China",31.3389,121.22,5,"Asia"
35,2008,18,18,"Brazilian Grand Prix","2008-11-02","17:00:00","interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,"South America"
36,2007,1,1,"Australian Grand Prix","2007-03-18","03:00:00","albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,"Oceania"
37,2007,2,2,"Malaysian Grand Prix","2007-04-08","07:00:00","sepang","Sepang International Circuit","Kuala Lumpur","Malaysia",2.76083,101.738,18,"Asia"
38,2007,3,3,"Bahrain Grand Prix","2007-04-15","11:30:00","bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,7,"Asia"
39,2007,4,4,"Spanish Grand Prix","2007-05-13","12:00:00","catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,109,"Europe"
40,2007,5,6,"Monaco Grand Prix","2007-05-27","12:00:00","monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,7,"Europe"
41,2007,6,7,"Canadian Grand Prix","2007-06-10","17:00:00","villeneuve","Circuit Gilles Villeneuve","Montreal","Canada",45.5,-73.5228,13,"North America"
42,2007,7,19,"United States Grand Prix","2007-06-17","17:00:00","indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,"North America"
43,2007,8,8,"French Grand Prix","2007-07-01","12:00:00","magny_cours","Circuit de Nevers Magny-Cours","Magny Cours","France",46.8642,3.16361,228,"Europe"
44,2007,9,9,"British Grand Prix","2007-07-08","12:00:00","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,153,"Europe"
45,2007,10,20,"European Grand Prix","2007-07-22","12:00:00","nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,"Europe"
46,2007,11,11,"Hungarian Grand Prix","2007-08-05","12:00:00","hungaroring","Hungaroring","Budapest","Hungary",47.5789,19.2486,264,"Europe"
47,2007,12,5,"Turkish Grand Prix","2007-08-26","12:00:00","istanbul","Istanbul Park","Istanbul","Turkey",40.9517,29.405,130,"Asia"
48,2007,13,14,"Italian Grand Prix","2007-09-09","12:00:00","monza","Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,162,"Europe"
49,2007,14,13,"Belgian Grand Prix","2007-09-16","12:00:00","spa","Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,401,"Europe"
50,2007,15,16,"Japanese Grand Prix","2007-09-30","04:30:00","fuji","Fuji Speedway","Oyama","Japan",35.3717,138.927,583,"Asia"
51,2007,16,17,"Chinese Grand Prix","2007-10-07","06:00:00","shanghai","Shanghai International Circuit","Shanghai","China",31.3389,121.22,5,"Asia"
52,2007,17,18,"Brazilian Grand Prix","2007-10-21","16:00:00","interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,"South America"
53,2006,1,3,"Bahrain Grand Prix","2006-03-12","14:30:00","bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,7,"Asia"
54,2006,2,2,"Malaysian Grand Prix","2006-03-19","15:00:00","sepang","Sepang International Circuit","Kuala Lumpur","Malaysia",2.76083,101.738,18,"Asia"
55,2006,3,1,"Australian Grand Prix","2006-04-02","14:00:00","albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,"Oceania"
56,2006,4,21,"San Marino Grand Prix","2006-04-23","14:00:00","imola","Autodromo Enzo e Dino Ferrari","Imola","Italy",44.3439,11.7167,37,"Europe"
57,2006,5,20,"European Grand Prix","2006-05-07","14:00:00","nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,"Europe"
58,2006,6,4,"Spanish Grand Prix","2006-05-14","14:00:00","catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,109,"Europe"
59,2006,7,6,"Monaco Grand Prix","2006-05-28","14:00:00","monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,7,"Europe"
60,2006,8,9,"British Grand Prix","2006-06-11","12:00:00","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,153,"Europe"
61,2006,9,7,"Canadian Grand Prix","2006-06-25","13:00:00","villeneuve","Circuit Gilles Villeneuve","Montreal","Canada",45.5,-73.5228,13,"North America"
62,2006,10,19,"United States Grand Prix","2006-07-02","14:00:00","indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,"North America"
